YEAR,PROJECT,SPECIES,DATE,DAY_OF_SEASON,WEEK_OF_SEASON,FREQENCY,TRIP_DURATION
2000-01,CS,CHPE,1/17/2001,48,7,5315,5.75
2000-01,CS,CHPE,1/18/2001,49,7,5315,17.33333333
2000-01,CS,CHPE,1/19/2001,50,8,5315,10.75
2000-01,CS,CHPE,1/20/2001,51,8,5315,16
2000-01,CS,CHPE,1/22/2001,53,8,5315,7
2000-01,CS,CHPE,1/23/2001,54,8,5315,7
2000-01,CS,CHPE,1/23/2001,54,8,5315,13.75
2000-01,CS,CHPE,1/24/2001,55,8,5315,8.75
2000-01,CS,CHPE,1/24/2001,55,8,5315,6.75
2000-01,CS,CHPE,1/25/2001,56,8,5315,13.46666667
2000-01,CS,CHPE,1/26/2001,57,9,5315,8.75
2000-01,CS,CHPE,1/26/2001,57,9,5315,5.75
2000-01,CS,CHPE,1/27/2001,58,9,5315,6.75
2000-01,CS,CHPE,1/27/2001,58,9,5315,18
2000-01,CS,CHPE,1/29/2001,60,9,5315,7.5
2000-01,CS,CHPE,1/7/2001,38,6,5334,4
2000-01,CS,CHPE,1/8/2001,39,6,5334,8.933333333
2000-01,CS,CHPE,1/9/2001,40,6,5334,12.75
2000-01,CS,CHPE,1/10/2001,41,6,5334,5.25
2000-01,CS,CHPE,1/11/2001,42,6,5334,8.25
2000-01,CS,CHPE,1/12/2001,43,7,5334,4.25
2000-01,CS,CHPE,1/13/2001,44,7,5334,8.75
2000-01,CS,CHPE,1/15/2001,46,7,5334,4.5
2000-01,CS,CHPE,1/15/2001,46,7,5334,6.75
2000-01,CS,CHPE,1/16/2001,47,7,5334,9.75
2000-01,CS,CHPE,1/17/2001,48,7,5334,6.4
2000-01,CS,CHPE,1/18/2001,49,7,5334,4.5
2000-01,CS,CHPE,1/18/2001,49,7,5334,7.833333333
2000-01,CS,CHPE,1/20/2001,51,8,5334,8
2000-01,CS,CHPE,1/21/2001,52,8,5334,9
2000-01,CS,CHPE,1/22/2001,53,8,5334,5
2000-01,CS,CHPE,1/23/2001,54,8,5334,6.25
2000-01,CS,CHPE,1/24/2001,55,8,5334,15.5
2000-01,CS,CHPE,1/26/2001,57,9,5334,7
2000-01,CS,CHPE,1/27/2001,58,9,5334,4.75
2000-01,CS,CHPE,1/28/2001,59,9,5334,8.25
2000-01,CS,CHPE,1/29/2001,60,9,5334,9
2000-01,CS,CHPE,2/3/2001,65,10,5334,8.75
2000-01,CS,CHPE,2/4/2001,66,10,5334,12.75
2000-01,CS,CHPE,2/5/2001,67,10,5334,8
2000-01,CS,CHPE,2/6/2001,68,10,5334,11
2000-01,CS,CHPE,2/7/2001,69,10,5334,11
2000-01,CS,CHPE,2/8/2001,70,10,5334,9.75
2000-01,CS,CHPE,2/9/2001,71,11,5334,57.93333333
2000-01,CS,CHPE,2/12/2001,74,11,5334,5
2000-01,CS,CHPE,2/13/2001,75,11,5334,10
2000-01,CS,CHPE,2/14/2001,76,11,5334,12.5
2000-01,CS,CHPE,2/15/2001,77,11,5334,10.25
2000-01,CS,CHPE,1/10/2001,41,6,5355,10
2000-01,CS,CHPE,1/11/2001,42,6,5355,13.25
2000-01,CS,CHPE,1/12/2001,43,7,5355,11.75
2000-01,CS,CHPE,1/13/2001,44,7,5355,6
2000-01,CS,CHPE,1/14/2001,45,7,5355,5.25
2000-01,CS,CHPE,1/16/2001,47,7,5355,28.25
2000-01,CS,CHPE,1/19/2001,50,8,5355,4.5
2000-01,CS,CHPE,1/20/2001,51,8,5355,5.5
2000-01,CS,CHPE,1/20/2001,51,8,5355,16.75
2000-01,CS,CHPE,1/23/2001,54,8,5355,4.25
2000-01,CS,CHPE,1/25/2001,56,8,5355,8.5
2000-01,CS,CHPE,1/26/2001,57,9,5355,8.5
2000-01,CS,CHPE,1/27/2001,58,9,5355,11.75
2000-01,CS,CHPE,1/28/2001,59,9,5355,7.25
2000-01,CS,CHPE,1/29/2001,60,9,5355,9.25
2000-01,CS,CHPE,2/3/2001,65,10,5355,7
2000-01,CS,CHPE,2/4/2001,66,10,5355,13.25
2000-01,CS,CHPE,2/5/2001,67,10,5355,4
2000-01,CS,CHPE,2/6/2001,68,10,5355,10.25
2000-01,CS,CHPE,2/7/2001,69,10,5355,10.25
2000-01,CS,CHPE,2/8/2001,70,10,5355,12.5
2000-01,CS,CHPE,2/9/2001,71,11,5355,33.43333333
2000-01,CS,CHPE,2/11/2001,73,11,5355,10.25
2000-01,CS,CHPE,2/12/2001,74,11,5355,11
2000-01,CS,CHPE,2/13/2001,75,11,5355,10.75
2000-01,CS,CHPE,2/14/2001,76,11,5355,8
2000-01,CS,CHPE,1/8/2001,39,6,5374,5.5
2000-01,CS,CHPE,1/8/2001,39,6,5374,13.75
2000-01,CS,CHPE,1/9/2001,40,6,5374,17.75
2000-01,CS,CHPE,1/11/2001,42,6,5374,17.75
2000-01,CS,CHPE,1/12/2001,43,7,5374,13
2000-01,CS,CHPE,1/13/2001,44,7,5374,13.25
2000-01,CS,CHPE,1/14/2001,45,7,5374,15.75
2000-01,CS,CHPE,1/15/2001,46,7,5374,14
2000-01,CS,CHPE,1/16/2001,47,7,5374,13.5
2000-01,CS,CHPE,1/17/2001,48,7,5374,10.9
2000-01,CS,CHPE,1/19/2001,50,8,5374,6
2000-01,CS,CHPE,1/20/2001,51,8,5374,5.75
2000-01,CS,CHPE,1/20/2001,51,8,5374,14.5
2000-01,CS,CHPE,1/21/2001,52,8,5374,15.5
2000-01,CS,CHPE,1/22/2001,53,8,5374,13.25
2000-01,CS,CHPE,1/23/2001,54,8,5374,16.25
2000-01,CS,CHPE,1/24/2001,55,8,5374,19.75
2000-01,CS,CHPE,1/26/2001,57,9,5374,5.5
2000-01,CS,CHPE,1/26/2001,57,9,5374,15.75
2000-01,CS,CHPE,1/27/2001,58,9,5374,15.5
2000-01,CS,CHPE,1/28/2001,59,9,5374,16.5
2000-01,CS,CHPE,2/2/2001,64,10,5374,14.25
2000-01,CS,CHPE,2/3/2001,65,10,5374,9
2000-01,CS,CHPE,2/4/2001,66,10,5374,16.98333333
2000-01,CS,CHPE,2/5/2001,67,10,5374,12.75
2000-01,CS,CHPE,2/6/2001,68,10,5374,14.75
2000-01,CS,CHPE,2/7/2001,69,10,5374,10.25
2000-01,CS,CHPE,2/8/2001,70,10,5374,12.25
2000-01,CS,CHPE,2/9/2001,71,11,5374,16.18333333
2000-01,CS,CHPE,2/10/2001,72,11,5374,14.25
2000-01,CS,CHPE,2/11/2001,73,11,5374,15.5
2000-01,CS,CHPE,2/12/2001,74,11,5374,14.25
2000-01,CS,CHPE,2/13/2001,75,11,5374,11.75
2000-01,CS,CHPE,2/14/2001,76,11,5374,13
2000-01,CS,CHPE,2/15/2001,77,11,5374,12.25
2000-01,CS,CHPE,1/8/2001,39,6,5394,5.183333333
2000-01,CS,CHPE,1/10/2001,41,6,5394,7.25
2000-01,CS,CHPE,1/11/2001,42,6,5394,9.5
2000-01,CS,CHPE,1/12/2001,43,7,5394,9.75
2000-01,CS,CHPE,1/13/2001,44,7,5394,8
2000-01,CS,CHPE,1/14/2001,45,7,5394,5.75
2000-01,CS,CHPE,1/14/2001,45,7,5394,12.5
2000-01,CS,CHPE,1/16/2001,47,7,5394,5.5
2000-01,CS,CHPE,1/19/2001,50,8,5394,5.75
2000-01,CS,CHPE,1/20/2001,51,8,5394,57.5
2000-01,CS,CHPE,1/8/2001,39,6,5414,8.933333333
2000-01,CS,CHPE,1/8/2001,39,6,5414,5.75
2000-01,CS,CHPE,1/9/2001,40,6,5414,8.5
2000-01,CS,CHPE,1/10/2001,41,6,5414,4
2000-01,CS,CHPE,1/11/2001,42,6,5414,5.25
2000-01,CS,CHPE,1/12/2001,43,7,5414,9.5
2000-01,CS,CHPE,1/14/2001,45,7,5414,13.5
2000-01,CS,CHPE,1/15/2001,46,7,5414,14
2000-01,CS,CHPE,1/16/2001,47,7,5414,6
2000-01,CS,CHPE,1/17/2001,48,7,5414,4.25
2000-01,CS,CHPE,1/18/2001,49,7,5414,7.35
2000-01,CS,CHPE,1/19/2001,50,8,5414,6.75
2000-01,CS,CHPE,1/19/2001,50,8,5414,4.75
2000-01,CS,CHPE,1/20/2001,51,8,5414,7.5
2000-01,CS,CHPE,1/21/2001,52,8,5414,27.75
2000-01,CS,CHPE,1/22/2001,53,8,5414,16
2000-01,CS,CHPE,1/23/2001,54,8,5414,8.5
2000-01,CS,CHPE,1/24/2001,55,8,5414,9.5
2000-01,CS,CHPE,1/25/2001,56,8,5414,6.25
2000-01,CS,CHPE,1/25/2001,56,8,5414,4.25
2000-01,CS,CHPE,1/28/2001,59,9,5414,14.5
2000-01,CS,CHPE,2/3/2001,65,10,5414,8.5
2000-01,CS,CHPE,2/4/2001,66,10,5414,7.25
2000-01,CS,CHPE,2/5/2001,67,10,5414,8.5
2000-01,CS,CHPE,2/6/2001,68,10,5414,8.25
2000-01,CS,CHPE,2/7/2001,69,10,5414,13.25
2000-01,CS,CHPE,2/8/2001,70,10,5414,7.75
2000-01,CS,CHPE,2/9/2001,71,11,5414,9.25
2000-01,CS,CHPE,2/10/2001,72,11,5414,14.75
2000-01,CS,CHPE,2/11/2001,73,11,5414,13.75
2000-01,CS,CHPE,2/12/2001,74,11,5414,9
2000-01,CS,CHPE,2/13/2001,75,11,5414,11
2000-01,CS,CHPE,2/14/2001,76,11,5414,11.25
2000-01,CS,CHPE,2/15/2001,77,11,5414,11.25
2000-01,CS,CHPE,1/7/2001,38,6,5434,7.5
2000-01,CS,CHPE,1/9/2001,40,6,5434,5.5
2000-01,CS,CHPE,1/10/2001,41,6,5434,6.25
2000-01,CS,CHPE,1/11/2001,42,6,5434,9
2000-01,CS,CHPE,1/13/2001,44,7,5434,14.25
2000-01,CS,CHPE,1/15/2001,46,7,5434,4.75
2000-01,CS,CHPE,1/17/2001,48,7,5434,5.9
2000-01,CS,CHPE,1/18/2001,49,7,5434,11.35
2000-01,CS,CHPE,1/18/2001,49,7,5434,14
2000-01,CS,CHPE,1/20/2001,51,8,5434,10
2000-01,CS,CHPE,1/21/2001,52,8,5434,6.5
2000-01,CS,CHPE,1/22/2001,53,8,5434,9.25
2000-01,CS,CHPE,1/23/2001,54,8,5434,8.75
2000-01,CS,CHPE,1/24/2001,55,8,5434,9.25
2000-01,CS,CHPE,1/24/2001,55,8,5434,16.25
2000-01,CS,CHPE,1/26/2001,57,9,5434,7.25
2000-01,CS,CHPE,1/27/2001,58,9,5434,4.25
2000-01,CS,CHPE,1/28/2001,59,9,5434,6
2000-01,CS,CHPE,1/29/2001,60,9,5434,9.5
2000-01,CS,CHPE,2/3/2001,65,10,5434,11.75
2000-01,CS,CHPE,2/4/2001,66,10,5434,13
2000-01,CS,CHPE,2/5/2001,67,10,5434,8.75
2000-01,CS,CHPE,2/6/2001,68,10,5434,7.75
2000-01,CS,CHPE,2/7/2001,69,10,5434,13.75
2000-01,CS,CHPE,2/8/2001,70,10,5434,9.25
2000-01,CS,CHPE,2/9/2001,71,11,5434,14.93333333
2000-01,CS,CHPE,2/10/2001,72,11,5434,14.5
2000-01,CS,CHPE,2/11/2001,73,11,5434,12.5
2000-01,CS,CHPE,2/12/2001,74,11,5434,11.25
2000-01,CS,CHPE,2/13/2001,75,11,5434,13
2000-01,CS,CHPE,2/14/2001,76,11,5434,13
2000-01,CS,CHPE,2/15/2001,77,11,5434,19
2000-01,CS,CHPE,1/7/2001,38,6,5474,4.5
2000-01,CS,CHPE,1/12/2001,43,7,5474,4
2000-01,CS,CHPE,1/14/2001,45,7,5474,21.5
2000-01,CS,CHPE,1/16/2001,47,7,5474,4.25
2000-01,CS,CHPE,1/16/2001,47,7,5474,8
2000-01,CS,CHPE,1/18/2001,49,7,5474,4.083333333
2000-01,CS,CHPE,1/19/2001,50,8,5474,5.5
2000-01,CS,CHPE,1/19/2001,50,8,5474,5
2000-01,CS,CHPE,1/20/2001,51,8,5474,7.25
2000-01,CS,CHPE,1/21/2001,52,8,5474,11.25
2000-01,CS,CHPE,1/22/2001,53,8,5474,33.75
2000-01,CS,CHPE,1/24/2001,55,8,5474,7.5
2000-01,CS,CHPE,1/25/2001,56,8,5474,4.75
2000-01,CS,CHPE,1/26/2001,57,9,5474,6
2000-01,CS,CHPE,1/26/2001,57,9,5474,4.75
2000-01,CS,CHPE,1/28/2001,59,9,5474,9.25
2000-01,CS,CHPE,1/28/2001,59,9,5474,18.5
2000-01,CS,CHPE,2/3/2001,65,10,5474,16.25
2000-01,CS,CHPE,2/4/2001,66,10,5474,4.5
2000-01,CS,CHPE,2/5/2001,67,10,5474,8.75
2000-01,CS,CHPE,2/6/2001,68,10,5474,15.25
2000-01,CS,CHPE,2/7/2001,69,10,5474,13.25
2000-01,CS,CHPE,2/8/2001,70,10,5474,13.5
2000-01,CS,CHPE,2/9/2001,71,11,5474,14.68333333
2000-01,CS,CHPE,2/10/2001,72,11,5474,12
2000-01,CS,CHPE,2/11/2001,73,11,5474,10.5
2000-01,CS,CHPE,2/12/2001,74,11,5474,12.75
2000-01,CS,CHPE,2/13/2001,75,11,5474,13.75
2000-01,CS,CHPE,1/6/2001,37,6,5494,14.5
2000-01,CS,CHPE,1/7/2001,38,6,5494,7.25
2000-01,CS,CHPE,1/9/2001,40,6,5494,5
2000-01,CS,CHPE,1/9/2001,40,6,5494,14.5
2000-01,CS,CHPE,1/11/2001,42,6,5494,6.5
2000-01,CS,CHPE,1/11/2001,42,6,5494,13.5
2000-01,CS,CHPE,1/12/2001,43,7,5494,10.75
2000-01,CS,CHPE,1/13/2001,44,7,5494,11.25
2000-01,CS,CHPE,1/14/2001,45,7,5494,18
2000-01,CS,CHPE,1/15/2001,46,7,5494,14.75
2000-01,CS,CHPE,1/16/2001,47,7,5494,14
2000-01,CS,CHPE,1/17/2001,48,7,5494,4.4
2000-01,CS,CHPE,1/18/2001,49,7,5494,4.5
2000-01,CS,CHPE,1/19/2001,50,8,5494,6.5
2000-01,CS,CHPE,1/19/2001,50,8,5494,15.5
2000-01,CS,CHPE,1/20/2001,51,8,5494,26.75
2000-01,CS,CHPE,1/22/2001,53,8,5494,14.75
2000-01,CS,CHPE,1/23/2001,54,8,5494,14.75
2000-01,CS,CHPE,1/24/2001,55,8,5494,6.5
2000-01,CS,CHPE,1/25/2001,56,8,5494,5.75
2000-01,CS,CHPE,1/27/2001,58,9,5494,4
2000-01,CS,CHPE,1/28/2001,59,9,5494,9
2000-01,CS,CHPE,2/3/2001,65,10,5494,16.5
2000-01,CS,CHPE,2/4/2001,66,10,5494,12.5
2000-01,CS,CHPE,2/5/2001,67,10,5494,10
2000-01,CS,CHPE,2/6/2001,68,10,5494,12.25
2000-01,CS,CHPE,2/7/2001,69,10,5494,11.25
2000-01,CS,CHPE,2/8/2001,70,10,5494,39.68333333
2000-01,CS,CHPE,2/11/2001,73,11,5494,14.5
2000-01,CS,CHPE,2/12/2001,74,11,5494,10.25
2000-01,CS,CHPE,2/13/2001,75,11,5494,11
2000-01,CS,CHPE,2/13/2001,75,11,5494,22.25
2000-01,CS,CHPE,2/15/2001,77,11,5494,11.5
2000-01,CS,CHPE,1/7/2001,38,6,5513,4
2000-01,CS,CHPE,1/7/2001,38,6,5513,12.5
2000-01,CS,CHPE,1/8/2001,39,6,5513,7.5
2000-01,CS,CHPE,1/10/2001,41,6,5513,5.75
2000-01,CS,CHPE,1/11/2001,42,6,5513,7.5
2000-01,CS,CHPE,1/12/2001,43,7,5513,8.75
2000-01,CS,CHPE,1/12/2001,43,7,5513,9.25
2000-01,CS,CHPE,1/14/2001,45,7,5513,6.75
2000-01,CS,CHPE,1/14/2001,45,7,5513,11.5
2000-01,CS,CHPE,1/15/2001,46,7,5513,18
2000-01,CS,CHPE,1/16/2001,47,7,5513,14.25
2000-01,CS,CHPE,1/18/2001,49,7,5513,5.583333333
2000-01,CS,CHPE,1/19/2001,50,8,5513,5.5
2000-01,CS,CHPE,1/19/2001,50,8,5513,14
2000-01,CS,CHPE,1/20/2001,51,8,5513,14
2000-01,CS,CHPE,1/21/2001,52,8,5513,14.25
2000-01,CS,CHPE,1/23/2001,54,8,5513,4.25
2000-01,CS,CHPE,1/24/2001,55,8,5513,6.5
2000-01,CS,CHPE,1/24/2001,55,8,5513,12.5
2000-01,CS,CHPE,1/26/2001,57,9,5513,7
2000-01,CS,CHPE,1/26/2001,57,9,5513,15.25
2000-01,CS,CHPE,1/27/2001,58,9,5513,4
2000-01,CS,CHPE,1/29/2001,60,9,5513,7.75
2000-01,CS,CHPE,1/29/2001,60,9,5513,15
2000-01,CS,CHPE,2/2/2001,64,10,5513,8
2000-01,CS,CHPE,2/3/2001,65,10,5513,13.5
2000-01,CS,CHPE,2/4/2001,66,10,5513,13.5
2000-01,CS,CHPE,2/5/2001,67,10,5513,13.25
2000-01,CS,CHPE,2/6/2001,68,10,5513,13.75
2000-01,CS,CHPE,2/7/2001,69,10,5513,14
2000-01,CS,CHPE,2/8/2001,70,10,5513,10.75
2000-01,CS,CHPE,1/7/2001,38,6,5533,5.75
2000-01,CS,CHPE,1/7/2001,38,6,5533,13.25
2000-01,CS,CHPE,1/8/2001,39,6,5533,17.93333333
2000-01,CS,CHPE,1/9/2001,40,6,5533,4.75
2000-01,CS,CHPE,1/10/2001,41,6,5533,7.5
2000-01,CS,CHPE,1/11/2001,42,6,5533,6.25
2000-01,CS,CHPE,1/12/2001,43,7,5533,10.25
2000-01,CS,CHPE,1/13/2001,44,7,5533,18.75
2000-01,CS,CHPE,1/14/2001,45,7,5533,4.25
2000-01,CS,CHPE,1/15/2001,46,7,5533,6.75
2000-01,CS,CHPE,1/16/2001,47,7,5533,7.25
2000-01,CS,CHPE,1/17/2001,48,7,5533,9.4
2000-01,CS,CHPE,1/18/2001,49,7,5533,5.5
2000-01,CS,CHPE,1/18/2001,49,7,5533,5.583333333
2000-01,CS,CHPE,1/19/2001,50,8,5533,7
2000-01,CS,CHPE,1/20/2001,51,8,5533,9
2000-01,CS,CHPE,1/21/2001,52,8,5533,7.75
2000-01,CS,CHPE,1/22/2001,53,8,5533,10.75
2000-01,CS,CHPE,1/23/2001,54,8,5533,7.25
2000-01,CS,CHPE,1/24/2001,55,8,5533,8.25
2000-01,CS,CHPE,1/24/2001,55,8,5533,15.75
2000-01,CS,CHPE,1/26/2001,57,9,5533,8
2000-01,CS,CHPE,1/28/2001,59,9,5533,8.75
2000-01,CS,CHPE,1/29/2001,60,9,5533,11
2000-01,CS,CHPE,2/2/2001,64,10,5533,14
2000-01,CS,CHPE,2/3/2001,65,10,5533,7.5
2000-01,CS,CHPE,2/4/2001,66,10,5533,7.75
2000-01,CS,CHPE,2/5/2001,67,10,5533,10.5
2000-01,CS,CHPE,2/6/2001,68,10,5533,15.5
2000-01,CS,CHPE,2/7/2001,69,10,5533,13.5
2000-01,CS,CHPE,2/8/2001,70,10,5533,12.75
2000-01,CS,CHPE,2/9/2001,71,11,5533,13.93333333
2000-01,CS,CHPE,2/10/2001,72,11,5533,35.75
2000-01,CS,CHPE,2/12/2001,74,11,5533,11
2000-01,CS,CHPE,2/13/2001,75,11,5533,12.75
2000-01,CS,CHPE,2/14/2001,76,11,5533,11
2000-01,CS,CHPE,2/15/2001,77,11,5533,10.5
2000-01,CS,CHPE,1/8/2001,39,6,5553,8.95
2000-01,CS,CHPE,1/10/2001,41,6,5553,8
2000-01,CS,CHPE,1/11/2001,42,6,5553,8.5
2000-01,CS,CHPE,1/12/2001,43,7,5553,8.25
2000-01,CS,CHPE,1/14/2001,45,7,5553,6.25
2000-01,CS,CHPE,1/15/2001,46,7,5553,10.5
2000-01,CS,CHPE,1/16/2001,47,7,5553,7.5
2000-01,CS,CHPE,1/17/2001,48,7,5553,6.4
2000-01,CS,CHPE,1/18/2001,49,7,5553,11.1
2000-01,CS,CHPE,1/19/2001,50,8,5553,7.5
2000-01,CS,CHPE,1/20/2001,51,8,5553,6.5
2000-01,CS,CHPE,1/21/2001,52,8,5553,7.5
2000-01,CS,CHPE,1/22/2001,53,8,5553,7.25
2000-01,CS,CHPE,1/23/2001,54,8,5553,7.25
2000-01,CS,CHPE,1/24/2001,55,8,5553,7.5
2000-01,CS,CHPE,1/25/2001,56,8,5553,8.233333333
2000-01,CS,CHPE,1/26/2001,57,9,5553,10
2000-01,CS,CHPE,1/27/2001,58,9,5553,10
2000-01,CS,CHPE,1/28/2001,59,9,5553,9
2000-01,CS,CHPE,2/2/2001,64,10,5553,4.75
2000-01,CS,CHPE,2/3/2001,65,10,5553,11.25
2000-01,CS,CHPE,2/4/2001,66,10,5553,12.25
2000-01,CS,CHPE,2/5/2001,67,10,5553,6.5
2000-01,CS,CHPE,2/6/2001,68,10,5553,12.25
2000-01,CS,CHPE,2/7/2001,69,10,5553,11.25
2000-01,CS,CHPE,2/8/2001,70,10,5553,10.25
2000-01,CS,CHPE,2/9/2001,71,11,5553,11.43333333
2000-01,CS,CHPE,2/10/2001,72,11,5553,35.75
2000-01,CS,CHPE,2/12/2001,74,11,5553,10.75
2000-01,CS,CHPE,2/13/2001,75,11,5553,10.25
2000-01,CS,CHPE,2/14/2001,76,11,5553,11.5
2000-01,CS,CHPE,2/15/2001,77,11,5553,13.5
2000-01,CS,CHPE,1/7/2001,38,6,5575,9.75
2000-01,CS,CHPE,1/8/2001,39,6,5575,5.683333333
2000-01,CS,CHPE,1/9/2001,40,6,5575,7.25
2000-01,CS,CHPE,1/10/2001,41,6,5575,7.25
2000-01,CS,CHPE,1/11/2001,42,6,5575,9.75
2000-01,CS,CHPE,1/12/2001,43,7,5575,9.5
2000-01,CS,CHPE,1/13/2001,44,7,5575,9.25
2000-01,CS,CHPE,1/14/2001,45,7,5575,9.5
2000-01,CS,CHPE,1/15/2001,46,7,5575,9
2000-01,CS,CHPE,1/16/2001,47,7,5575,7.25
2000-01,CS,CHPE,1/17/2001,48,7,5575,9.15
2000-01,CS,CHPE,1/18/2001,49,7,5575,5.333333333
2000-01,CS,CHPE,1/19/2001,50,8,5575,7.25
2000-01,CS,CHPE,1/20/2001,51,8,5575,8.25
2000-01,CS,CHPE,1/21/2001,52,8,5575,7.75
2000-01,CS,CHPE,1/21/2001,52,8,5575,15.75
2000-01,CS,CHPE,1/22/2001,53,8,5575,16
2000-01,CS,CHPE,1/23/2001,54,8,5575,15.25
2000-01,CS,CHPE,1/24/2001,55,8,5575,6.75
2000-01,CS,CHPE,1/25/2001,56,8,5575,5
2000-01,CS,CHPE,1/26/2001,57,9,5575,7.5
2000-01,CS,CHPE,1/27/2001,58,9,5575,7.5
2000-01,CS,CHPE,1/28/2001,59,9,5575,9.25
2000-01,CS,CHPE,1/28/2001,59,9,5575,17.75
2000-01,CS,CHPE,2/3/2001,65,10,5575,9.5
2000-01,CS,CHPE,2/4/2001,66,10,5575,10.75
2000-01,CS,CHPE,2/5/2001,67,10,5575,13.25
2000-01,CS,CHPE,2/6/2001,68,10,5575,10.5
2000-01,CS,CHPE,2/7/2001,69,10,5575,10.5
2000-01,CS,CHPE,2/7/2001,69,10,5575,20.75
2000-01,CS,CHPE,1/7/2001,38,6,5593,10
2000-01,CS,CHPE,1/9/2001,40,6,5593,5.25
2000-01,CS,CHPE,1/10/2001,41,6,5593,7.25
2000-01,CS,CHPE,1/11/2001,42,6,5593,11.25
2000-01,CS,CHPE,1/12/2001,43,7,5593,11
2000-01,CS,CHPE,1/13/2001,44,7,5593,7.5
2000-01,CS,CHPE,1/14/2001,45,7,5593,5
2000-01,CS,CHPE,1/15/2001,46,7,5593,8.25
2000-01,CS,CHPE,1/17/2001,48,7,5593,7.666666667
2000-01,CS,CHPE,1/17/2001,48,7,5593,15.5
2000-01,CS,CHPE,1/19/2001,50,8,5593,5.75
2000-01,CS,CHPE,1/20/2001,51,8,5593,18.25
2000-01,CS,CHPE,1/22/2001,53,8,5593,12.5
2000-01,CS,CHPE,1/24/2001,55,8,5593,6.5
2000-01,CS,CHPE,1/25/2001,56,8,5593,11.75
2000-01,CS,CHPE,1/26/2001,57,9,5593,7.75
2000-01,CS,CHPE,1/27/2001,58,9,5593,9.75
2000-01,CS,CHPE,1/28/2001,59,9,5593,7
2000-01,CS,CHPE,1/29/2001,60,9,5593,10.5
2000-01,CS,CHPE,2/3/2001,65,10,5593,11.75
2000-01,CS,CHPE,2/4/2001,66,10,5593,8.25
2000-01,CS,CHPE,2/5/2001,67,10,5593,11
2000-01,CS,CHPE,2/6/2001,68,10,5593,12.5
2000-01,CS,CHPE,2/7/2001,69,10,5593,15.75
2000-01,CS,CHPE,2/8/2001,70,10,5593,13.25
2000-01,CS,CHPE,2/9/2001,71,11,5593,11.7
2000-01,CS,CHPE,2/10/2001,72,11,5593,10.25
2000-01,CS,CHPE,2/11/2001,73,11,5593,10.25
2000-01,CS,CHPE,2/12/2001,74,11,5593,12
2000-01,CS,CHPE,2/13/2001,75,11,5593,12.25
2000-01,CS,CHPE,2/14/2001,76,11,5593,11.5
2000-01,CS,CHPE,2/15/2001,77,11,5593,12
2001-02,CS,CHPE,1/4/2002,35,5,4023,6
2001-02,CS,CHPE,1/4/2002,35,5,4023,5.5
2001-02,CS,CHPE,1/5/2002,36,6,4023,24
2001-02,CS,CHPE,1/7/2002,38,6,4023,9.25
2001-02,CS,CHPE,1/7/2002,38,6,4023,4.75
2001-02,CS,CHPE,1/8/2002,39,6,4023,11.25
2001-02,CS,CHPE,1/9/2002,40,6,4023,17.75
2001-02,CS,CHPE,1/10/2002,41,6,4023,7.25
2001-02,CS,CHPE,1/11/2002,42,6,4023,4.25
2001-02,CS,CHPE,1/12/2002,43,7,4023,8
2001-02,CS,CHPE,1/13/2002,44,7,4023,6.25
2001-02,CS,CHPE,1/14/2002,45,7,4023,14.5
2001-02,CS,CHPE,1/16/2002,47,7,4023,25.25
2001-02,CS,CHPE,1/17/2002,48,7,4023,4.25
2001-02,CS,CHPE,1/18/2002,49,7,4023,4.25
2001-02,CS,CHPE,1/19/2002,50,8,4023,9.75
2001-02,CS,CHPE,1/20/2002,51,8,4023,11
2001-02,CS,CHPE,1/21/2002,52,8,4023,8.833333333
2001-02,CS,CHPE,1/22/2002,53,8,4023,9.5
2001-02,CS,CHPE,1/23/2002,54,8,4023,22.25
2001-02,CS,CHPE,1/24/2002,55,8,4023,16.25
2001-02,CS,CHPE,1/25/2002,56,8,4023,17
2001-02,CS,CHPE,1/27/2002,58,9,4023,4.5
2001-02,CS,CHPE,1/28/2002,59,9,4023,8.25
2001-02,CS,CHPE,1/28/2002,59,9,4023,17.25
2001-02,CS,CHPE,1/31/2002,62,9,4023,4.5
2001-02,CS,CHPE,1/5/2002,36,6,4045,14
2001-02,CS,CHPE,1/6/2002,37,6,4045,12.25
2001-02,CS,CHPE,1/7/2002,38,6,4045,4.25
2001-02,CS,CHPE,1/7/2002,38,6,4045,9.25
2001-02,CS,CHPE,1/8/2002,39,6,4045,7.9
2001-02,CS,CHPE,1/9/2002,40,6,4045,27.25
2001-02,CS,CHPE,1/11/2002,42,6,4045,8
2001-02,CS,CHPE,1/12/2002,43,7,4045,7.5
2001-02,CS,CHPE,1/12/2002,43,7,4045,5.75
2001-02,CS,CHPE,1/13/2002,44,7,4045,12
2001-02,CS,CHPE,1/15/2002,46,7,4045,14.5
2001-02,CS,CHPE,1/16/2002,47,7,4045,15.5
2001-02,CS,CHPE,1/18/2002,49,7,4045,13
2001-02,CS,CHPE,1/19/2002,50,8,4045,17.75
2001-02,CS,CHPE,1/21/2002,52,8,4045,8.5
2001-02,CS,CHPE,1/21/2002,52,8,4045,15.58333333
2001-02,CS,CHPE,1/23/2002,54,8,4045,6.5
2001-02,CS,CHPE,1/24/2002,55,8,4045,8
2001-02,CS,CHPE,1/25/2002,56,8,4045,13.5
